dates,prices,mas,signals,returns
2023-09-09 23:51:00,25895.54,26119.093930215633,1.0,99.9
2023-09-09 23:52:00,25895.4,26119.087020608436,1.0,99.89945990699557
2023-09-09 23:53:00,25894.41,26119.07955427449,1.0,99.8956406778928
2023-09-09 23:54:00,25893.1,26119.072534956846,1.0,99.89058695049417
2023-09-09 23:55:00,25901.61,26119.065875747623,1.0,99.92341688954933
2023-09-09 23:56:00,25901.6,26119.059468657317,1.0,99.92337831147758
2023-09-09 23:57:00,25901.61,26119.052766854627,1.0,99.92341688954933
2023-09-09 23:58:00,25901.6,26119.046278019276,1.0,99.92337831147758
2023-09-09 23:59:00,25901.61,26119.04055586637,1.0,99.92341688954933
2023-09-10 00:00:00,25902.67,26119.03534827699,1.0,99.9275061651543
2023-09-10 00:01:00,25902.68,26119.029698834147,1.0,99.92754474322605
2023-09-10 00:02:00,25902.67,26119.024048961066,1.0,99.9275061651543
2023-09-10 00:03:00,25894.67,26119.017903024655,1.0,99.89664370775816
2023-09-10 00:04:00,25893.9,26119.011445166372,1.0,99.89367319623379
2023-09-10 00:05:00,25893.7,26119.00497827312,1.0,99.89290163479889
2023-09-10 00:06:00,25889.65,26118.998865895195,1.0,99.8772775157421
2023-09-10 00:07:00,25889.42,26118.992686400292,1.0,99.87639022009195
2023-09-10 00:08:00,25895.35,26118.986819687732,1.0,99.89926701663684
2023-09-10 00:09:00,25889.52,26118.980367422533,1.0,99.87677600080941
2023-09-10 00:10:00,25889.51,26118.974234393238,1.0,99.87673742273766
2023-09-10 00:11:00,25889.52,26118.968362517833,1.0,99.87677600080941
2023-09-10 00:12:00,25889.52,26118.96273544732,1.0,99.87677600080941
2023-09-10 00:13:00,25889.52,26118.958060061184,1.0,99.87677600080941
2023-09-10 00:14:00,25889.52,26118.95506690195,1.0,99.87677600080941
2023-09-10 00:15:00,25889.52,26118.952378780796,1.0,99.87677600080941
2023-09-10 00:16:00,25884.89,26118.948225272212,1.0,99.85891435359139
2023-09-10 00:17:00,25883.48,26118.944310114963,1.0,99.85347484547532
2023-09-10 00:18:00,25880.89,26118.940640192835,1.0,99.84348312489332
2023-09-10 00:19:00,25877.51,26118.93674740791,1.0,99.83044373664345
2023-09-10 00:20:00,25865.19,26118.931340618772,1.0,99.7829155522534
2023-09-10 00:21:00,25868.96,26118.924527814917,1.0,99.79745948530133
2023-09-10 00:22:00,25875.69,26118.91780320966,1.0,99.82342252758583
2023-09-10 00:23:00,25875.68,26118.910291700817,1.0,99.8233839495141
2023-09-10 00:24:00,25874.44,26118.902910984045,1.0,99.81860026861769
2023-09-10 00:25:00,25878.71,26118.89545583626,1.0,99.83507310525287
