dateTime,open,high,low,close,volume,price,return,strategyReturns,signals
21-06-17 15:00:00,38899.98,39150.0,38773.0,39007.91,2858.35780100,39007.91,0.0,100.0,0.0
21-06-17 16:00:00,39008.01,39111.56,38262.3,38508.51,5154.30873700,38508.51,-0.012802531589105937,100.0,0.0
21-06-17 17:00:00,38508.5,38552.87,37600.0,37695.13,8561.36606400,37695.13,-0.02112208444315311,100.0,0.0
21-06-17 18:00:00,37695.12,37910.0,37505.0,37749.76,4763.76331100,37749.76,0.0014492588299868103,100.0,0.0
21-06-17 19:00:00,37749.75,37928.42,37642.25,37702.53,3121.29396100,37702.53,-0.0012511337820426682,100.0,0.0
21-06-17 20:00:00,37702.53,37872.92,37365.0,37755.66,3996.38418800,37755.66,0.0014091892506948867,100.0,0.0
21-06-17 21:00:00,37755.28,37839.13,37519.99,37740.4,1873.10725800,37740.4,-0.0004041778106912419,100.0,0.0
21-06-17 22:00:00,37740.4,37968.48,37615.74,37954.49,2019.20789000,37954.49,0.005672700872274783,100.0,0.0
21-06-17 23:00:00,37954.5,38258.0,37831.5,38092.97,2863.69441500,38092.97,0.003648580181159211,100.0,0.0
21-06-18 00:00:00,38092.97,38202.84,37562.72,37675.5,2355.45397300,37675.5,-0.010959239985750657,100.0,0.0
21-06-18 01:00:00,37675.51,37799.99,37492.9,37649.38,2136.23372300,37649.38,-0.0006932887420207923,100.0,0.0
21-06-18 02:00:00,37649.39,37910.51,37213.0,37779.69,4169.90603700,37779.69,0.0034611459737186046,100.0,0.0
21-06-18 03:00:00,37779.71,38035.72,37737.02,37926.79,2524.50739200,37926.79,0.003893626443202569,100.0,0.0
21-06-18 04:00:00,37926.78,38148.11,37792.37,37920.85,2242.02742300,37920.85,-0.00015661752550111263,100.0,0.0
21-06-18 05:00:00,37920.85,38107.37,37513.55,37605.64,3509.38766200,37605.64,-0.008312313674403327,100.0,0.0
21-06-18 06:00:00,37606.58,37744.85,37377.0,37453.9,2797.87803900,37453.9,-0.004035033042915859,100.0,0.0
21-06-18 07:00:00,37453.89,37819.9,37450.02,37715.03,2262.78336300,37715.03,0.006972037624920269,100.0,0.0
21-06-18 08:00:00,37715.04,37966.98,37565.07,37877.98,2307.91222800,37877.98,0.004320558673823305,100.0,0.0
21-06-18 09:00:00,37877.99,37918.96,37451.12,37511.99,2847.84533700,37511.99,-0.009662342078431974,100.0,0.0
21-06-18 10:00:00,37512.0,37864.56,37063.8,37836.94,6629.71902300,37836.94,0.008662563622991115,100.0,0.0
21-06-18 11:00:00,37836.94,38029.99,37660.38,37821.95,3338.64144600,37821.95,-0.00039617368635003203,100.0,0.0
21-06-18 12:00:00,37818.57,37948.55,37307.28,37433.91,3933.80384500,37433.91,-0.010259650811235144,100.0,0.0
21-06-18 13:00:00,37433.92,37646.49,37019.0,37207.88,6133.60444500,37207.88,-0.006038108228608952,100.0,0.0
21-06-18 14:00:00,37204.32,37299.0,36500.0,36670.39,8891.99051200,36670.39,-0.01444559593290451,100.0,0.0
21-06-18 15:00:00,36670.39,36842.66,36278.5,36355.1,5262.80282300,36355.1,-0.0085979450995749,100.0,0.0
21-06-18 16:00:00,36355.97,36818.44,36266.0,36591.75,4805.23707700,36591.75,0.006509403082373577,100.0,0.0
21-06-18 17:00:00,36591.75,36606.52,36200.34,36219.11,3586.86828300,36219.11,-0.01018371627484338,100.0,0.0
21-06-18 18:00:00,36219.12,36361.13,35129.29,35289.53,9879.69452400,35289.53,-0.02566545671608167,100.0,0.0
21-06-18 19:00:00,35289.52,35759.32,35180.71,35327.24,4698.28803900,35327.24,0.0010685888987469472,100.0,0.0
21-06-18 20:00:00,35323.65,35866.32,35232.26,35497.97,4229.15555100,35497.97,0.004832814564625032,100.0,0.0
21-06-18 21:00:00,35497.97,35734.18,35372.36,35650.01,2515.57029000,35650.01,0.00428306182015481,100.0,0.0
21-06-18 22:00:00,35650.02,35664.28,35332.01,35620.18,1730.28680300,35620.18,-0.0008367459083462592,100.0,0.0
21-06-18 23:00:00,35620.18,35928.39,35388.24,35819.84,2438.44509700,35819.84,0.005605249608508389,100.0,0.0
21-06-19 00:00:00,35820.48,35937.05,35640.44,35744.1,2064.27767500,35744.1,-0.0021144706397348,100.0,0.0
21-06-19 01:00:00,35744.1,36297.3,35713.26,36110.43,2852.70518200,36110.43,0.010248684398264318,100.0,0.0
