dateTime,open,high,low,close,volume,price,return,strategyReturns,signals,strategyReturn TFS_10.75_570,signals TFS_10.75_570,strategyReturn TFE_8.86_0.04301,signals TFE_8.86_0.04301,"strategyReturn TFCS_12.64_[898, 3]","signals TFCS_12.64_[898, 3]","strategyReturn TFCE_8.75_[0.783906, 0.660514]","signals TFCE_8.75_[0.783906, 0.660514]","strategyReturn TFBBRSI_11.77_[511, 0.0093612, 5]","signals TFBBRSI_11.77_[511, 0.0093612, 5]"
2022-04-23 19:00:00,39683.91,39777.03,39666.02,39755.32,466.97089000,39755.32,0.0017992174160215146,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,0.0
2022-04-23 20:00:00,39755.31,39822.95,39748.74,39794.24,461.52787000,39794.24,0.0009789884724862308,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,0.0
2022-04-23 21:00:00,39794.23,39948.27,39778.93,39895.0,428.53398000,39895.0,0.0025320247352380587,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,0.0
2022-04-23 22:00:00,39895.01,39928.04,39786.08,39816.37,460.78042000,39816.37,-0.001970923674645908,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,1.0,10.0,0.0
2022-04-23 23:00:00,39816.36,39820.81,39327.58,39441.6,1685.83415000,39441.6,-0.009412460251901567,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.905875397480983,1.0,10.0,0.0
2022-04-24 00:00:00,39441.61,39654.56,39414.18,39560.56,1009.33710000,39560.56,0.0030161048233336984,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.935752556046669,1.0,10.0,0.0
2022-04-24 01:00:00,39560.55,39637.93,39467.7,39476.23,894.96060000,39476.23,-0.0021316685102534816,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.914572825197274,1.0,10.0,0.0
2022-04-24 02:00:00,39476.22,39606.1,39420.11,39539.62,683.83461000,39539.62,0.001605776438124984,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.930493412634048,-1.0,10.0,0.0
2022-04-24 03:00:00,39539.62,39828.0,39511.57,39776.57,1149.06776000,39776.57,0.005992723248225307,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.930493412634048,-1.0,10.0,0.0
2022-04-24 04:00:00,39776.56,39815.42,39656.86,39703.67,646.45634000,39703.67,-0.0018327372118812635,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.930493412634048,-1.0,10.0,0.0
2022-04-24 05:00:00,39703.68,39720.98,39629.99,39667.21,426.64912000,39667.21,-0.000918303018335509,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.930493412634048,1.0,10.0,0.0
2022-04-24 06:00:00,39667.21,39800.01,39649.0,39744.43,796.42452000,39744.43,0.001946696024247796,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.949825064679242,-1.0,10.0,0.0
2022-04-24 07:00:00,39744.42,39810.02,39725.97,39751.38,543.98132000,39751.38,0.0001748672707093668,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.949825064679242,-1.0,10.0,0.0
2022-04-24 08:00:00,39751.38,39803.74,39714.0,39723.88,464.85010000,39723.88,-0.0006917998821676097,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.949825064679242,1.0,10.0,0.0
2022-04-24 09:00:00,39723.88,39779.26,39662.48,39750.11,504.12721000,39750.11,0.0006603081068616845,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.956395014831307,-1.0,10.0,0.0
2022-04-24 10:00:00,39750.11,39784.66,39642.07,39695.42,503.43748000,39695.42,-0.0013758452492332873,10.0,-1.0,10.0,-1.0,10.0,-1.0,10.0,-1.0,9.956395014831307,1.0,10.0,0.0
