signal,btc,usdt,time,price,quantity,commission,fillsLength
1,0.00062,0.15250499999999967,1677920462874,22343.46000000,0.00062000,0.00000000,1
-1,0.0,14.009418199999999,1677924056818,22349.86000000,0.00062000,0.00000000,1
1,0.00062,0.16243739999999995,1677927673682,22333.84000000,0.00062000,0.00000000,1
-1,0.0,14.0166164,1677931288490,22345.45000000,0.00062000,0.00000000,1
1,0.00062,0.16326820000000097,1677938459291,22344.11000000,0.00062000,0.00000000,1
-1,0.0,13.98393,1677970887879,22291.39000000,0.00062000,0.00000000,1
1,0.00062,0.11071700000000106,1677985311128,22376.15000000,0.00062000,0.00000000,1
-1,0.0,14.023083000000002,1677992491828,22439.30000000,0.00062000,0.00000000,1
1,0.00062,0.14554860000000147,1678003288616,22383.12000000,0.00062000,0.00000000,1
-1,0.0,14.038533400000002,1678014064943,22408.04000000,0.00062000,0.00000000,1
1,0.00062,0.1349714000000013,1678039265199,22425.10000000,0.00062000,0.00000000,1
-1,0.0,14.044256,1678042860285,22434.33000000,0.00062000,0.00000000,1
1,0.00062,0.1534412000000014,1678046461243,22404.54000000,0.00062000,0.00000000,2
-1,0.0,14.083198200000002,1678053690618,22467.35000000,0.00062000,0.00000000,1
1,0.00062,0.18429240000000213,1678057296565,22417.59000000,0.00062000,0.00000000,1
-1,0.0,14.097551200000002,1678064490885,22440.74000000,0.00062000,0.00000000,1
1,0.00062,0.22365000000000101,1678068075036,22377.26000000,0.00062000,0.00000000,1
-1,0.0,14.114185800000001,1678086068528,22404.09000000,0.00062000,0.00000000,1
1,0.00063,0.015655199999999425,1678104090190,22378.62000000,0.00063000,0.00000000,1
-1,0.0,14.128953,1678107671103,22402.06000000,0.00063000,0.00000000,1
1,0.00062,0.18951739999999972,1678125663239,22482.92000000,0.00062000,0.00000000,2
-1,0.0,14.142381799999999,1678129258415,22504.62000000,0.00062000,0.00000000,1
1,0.00063,0.025934000000001234,1678132865458,22407.06000000,0.00063000,0.00000000,1
-1,0.0,14.153444600000002,1678143701898,22424.62000000,0.00063000,0.00000000,1
1,0.00063,0.0318497000000022,1678147312070,22415.23000000,0.00063000,0.00000000,1
-1,0.0,14.196057800000002,1678154484523,22482.87000000,0.00063000,0.00000000,1
1,0.00063,0.04957790000000273,1678168991015,22454.73000000,0.00063000,0.00000000,2
-1,0.0,14.158106600000004,1678194060512,22394.49000000,0.00063000,0.00000000,1
1,0.00063,0.0739463000000029,1678197656106,22355.81000000,0.00063000,0.00000000,1
-1,0.0,14.137858400000002,1678212077591,22323.67000000,0.00063000,0.00000000,1
1,0.00063,0.15002510000000235,1678215662719,22202.91000000,0.00063000,0.00000000,1
-1,0.0,14.153035100000002,1678233746932,22227.00000000,0.00063000,0.00000000,1
1,0.00063,0.18408290000000171,1678240887835,22172.94000000,0.00063000,0.00000000,1
-1,0.0,14.159379200000002,1678244523612,22183.01000000,0.00063000,0.00000000,1
1,0.00063,0.20377670000000236,1678248080132,22151.75000000,0.00063000,0.00000000,1
-1,0.0,14.073816200000003,1678269662015,22015.94000000,0.00063000,0.00000000,2
1,0.00063,0.20476310000000453,1678280464895,22014.37000000,0.00063000,0.00000000,1
-1,0.0,14.153441900000004,1678291265595,22140.76000000,0.00063000,0.00000000,1
1,0.00064,0.05449790000000476,1678298482739,22029.60000000,0.00064000,0.00000000,1
-1,0.0,14.190920300000005,1678309262926,22088.16000000,0.00064000,0.00000000,1
1,0.00064,0.11189310000000319,1678312886383,21998.48000000,0.00064000,0.00000000,1
